load_level,ablation_variant,metric,mean,std,count,ci95_low,ci95_high
extreme,full_proposed,generated_tasks,10.497680,0.054063,50,10.482694,10.512666
extreme,full_proposed,completed_tasks,6.073680,0.143127,50,6.034007,6.113353
extreme,full_proposed,attempted_interactions,9.361320,0.161302,50,9.316609,9.406031
extreme,full_proposed,successful_cooperations,6.073680,0.143127,50,6.034007,6.113353
extreme,full_proposed,failed_interactions,3.287640,0.082764,50,3.264699,3.310581
extreme,full_proposed,blocked_privacy_interactions,1.056360,0.168116,50,1.009761,1.102959
extreme,full_proposed,cooperation_rate,0.648772,0.008198,50,0.646499,0.651044
extreme,full_proposed,task_completion_ratio,0.578619,0.013508,50,0.574875,0.582363
extreme,full_proposed,reliability_score,0.582850,0.013713,50,0.579049,0.586651
extreme,full_proposed,resource_efficiency,0.558576,0.012829,50,0.555020,0.562132
extreme,full_proposed,fairness_index,0.924120,0.005557,50,0.922580,0.925660
extreme,full_proposed,trust_stability_index,0.691351,0.006556,50,0.689533,0.693168
extreme,full_proposed,privacy_exposure_risk,0.523161,0.005931,50,0.521517,0.524805
extreme,full_proposed,candidate_privacy_risk,0.583387,0.004025,50,0.582271,0.584503
extreme,full_proposed,accepted_privacy_exposure,0.523161,0.005931,50,0.521517,0.524805
extreme,full_proposed,avg_trust,0.445426,0.008025,50,0.443202,0.447650
extreme,full_proposed,trust_variance,0.077162,0.001639,50,0.076708,0.077617
extreme,full_proposed,avg_preference,0.564138,0.006106,50,0.562445,0.565831
extreme,full_proposed,avg_reciprocity,0.557531,0.015604,50,0.553206,0.561856
extreme,full_proposed,avg_privacy_risk,0.460848,0.011533,50,0.457651,0.464045
extreme,full_proposed,avg_total_utility,0.713812,0.002576,50,0.713098,0.714526
extreme,full_proposed,avg_system_utility,0.696912,0.001744,50,0.696429,0.697396
extreme,full_proposed,avg_social_utility,0.688641,0.005174,50,0.687207,0.690075
extreme,full_proposed,avg_resource_utility,0.977807,0.000098,50,0.977780,0.977834
extreme,full_proposed,avg_privacy_utility,0.476839,0.005931,50,0.475195,0.478483
extreme,full_proposed,avg_incentive_utility,0.748518,0.004793,50,0.747190,0.749847
extreme,full_proposed,energy_consumed,0.094308,0.001620,50,0.093859,0.094757
extreme,full_proposed,bandwidth_consumed,0.456705,0.008114,50,0.454456,0.458954
extreme,full_proposed,compute_consumed,0.608333,0.010550,50,0.605409,0.611258
extreme,full_proposed,throughput_mbps,48.589440,1.145019,50,48.272057,48.906823
extreme,full_proposed,packet_delivery_ratio,0.648772,0.008198,50,0.646499,0.651044
