ablation_variant,load_level,run_id,seed,generated_tasks,completed_tasks,attempted_interactions,successful_cooperations,failed_interactions,blocked_privacy_interactions,cooperation_rate,task_completion_ratio,reliability_score,resource_efficiency,fairness_index,trust_stability_index,privacy_exposure_risk,candidate_privacy_risk,accepted_privacy_exposure,avg_trust,trust_variance,avg_preference,avg_reciprocity,avg_privacy_risk,avg_total_utility,avg_system_utility,avg_social_utility,avg_resource_utility,avg_privacy_utility,avg_incentive_utility,energy_consumed,bandwidth_consumed,compute_consumed,throughput_mbps,packet_delivery_ratio,e2e_delay_ms,active_nodes
full_proposed,extreme,0,1000,10.514000,6.188000,9.474000,6.188000,3.286000,0.954000,0.654596,0.588971,0.593897,0.568455,0.926207,0.693646,0.524872,0.583616,0.524872,0.448249,0.076588,0.570551,0.582668,0.468215,0.715337,0.699109,0.691536,0.977811,0.475128,0.751855,0.095298,0.462211,0.615424,49.504000,0.654596,96.204440,49.266000
full_proposed,extreme,1,1001,10.520000,5.886000,9.288000,5.886000,3.402000,1.174000,0.633974,0.560482,0.563364,0.541175,0.923236,0.693412,0.523778,0.585940,0.523778,0.439109,0.076647,0.558591,0.552080,0.456823,0.710219,0.694350,0.680991,0.977833,0.476222,0.742018,0.093066,0.451351,0.606173,47.088000,0.633974,96.463514,49.068000
full_proposed,extreme,2,1002,10.472000,6.162000,9.324000,6.162000,3.162000,1.094000,0.660658,0.587860,0.590833,0.567486,0.930679,0.686309,0.515797,0.579475,0.515797,0.455631,0.078423,0.574992,0.603864,0.452502,0.716369,0.697902,0.691679,0.977724,0.484203,0.750876,0.093692,0.458306,0.607893,49.296000,0.660658,96.282329,49.320000
full_proposed,extreme,3,1003,10.432000,6.074000,9.300000,6.074000,3.226000,1.080000,0.649234,0.581643,0.584104,0.561335,0.921228,0.691333,0.527558,0.586431,0.527558,0.445192,0.077167,0.568232,0.570829,0.465097,0.716554,0.697123,0.696010,0.977739,0.472442,0.759260,0.093975,0.459383,0.601033,48.592000,0.649234,97.399617,49.518000
full_proposed,extreme,4,1004,10.570000,6.102000,9.458000,6.102000,3.356000,1.012000,0.644793,0.577200,0.582168,0.556953,0.921063,0.680507,0.517133,0.579112,0.517133,0.454258,0.079873,0.572234,0.567159,0.457667,0.714156,0.692448,0.689998,0.977623,0.482867,0.750369,0.095736,0.464640,0.621250,48.816000,0.644793,97.116760,49.032000
full_proposed,extreme,5,1005,10.464000,6.184000,9.438000,6.184000,3.254000,0.958000,0.655788,0.590230,0.593982,0.569748,0.929142,0.710284,0.533711,0.587206,0.533711,0.434448,0.072429,0.558118,0.556381,0.475315,0.715586,0.698771,0.696087,0.977950,0.466289,0.756545,0.095172,0.453493,0.612972,49.472000,0.655788,97.069745,49.350000
full_proposed,extreme,6,1006,10.416000,6.168000,9.494000,6.168000,3.326000,0.828000,0.649915,0.592481,0.597540,0.571563,0.934593,0.691458,0.527283,0.580729,0.527283,0.444483,0.077135,0.561239,0.540235,0.475947,0.712923,0.696556,0.688487,0.977726,0.472717,0.748188,0.095874,0.464553,0.619678,49.344000,0.649915,97.411911,49.136000
full_proposed,extreme,7,1007,10.578000,5.996000,9.234000,5.996000,3.238000,1.218000,0.650407,0.568066,0.574773,0.548798,0.920907,0.693178,0.524250,0.587526,0.524250,0.448303,0.076706,0.565465,0.565287,0.452123,0.711074,0.695278,0.682839,0.977921,0.475750,0.743525,0.092898,0.445594,0.599497,47.968000,0.650407,97.374428,49.012000
full_proposed,extreme,8,1008,10.512000,6.046000,9.232000,6.046000,3.186000,1.228000,0.656227,0.576136,0.578702,0.556566,0.919805,0.702199,0.524798,0.590576,0.524798,0.433672,0.074450,0.556062,0.548990,0.454368,0.715110,0.700254,0.690046,0.978006,0.475202,0.750300,0.092858,0.448019,0.593692,48.368000,0.656227,96.436715,49.576000
full_proposed,extreme,9,1009,10.466000,6.058000,9.380000,6.058000,3.322000,1.000000,0.646524,0.577661,0.582177,0.557748,0.929442,0.692830,0.519699,0.579580,0.519699,0.446579,0.076793,0.565168,0.564852,0.460533,0.714269,0.696582,0.688582,0.977925,0.480301,0.748306,0.094046,0.456709,0.605395,48.464000,0.646524,96.038523,48.974000
full_proposed,extreme,10,1010,10.476000,6.130000,9.550000,6.130000,3.420000,0.850000,0.641355,0.585860,0.589914,0.565098,0.925392,0.704401,0.533618,0.585540,0.533618,0.429665,0.073900,0.551332,0.533361,0.481979,0.711943,0.696223,0.687195,0.977718,0.466382,0.750925,0.096915,0.467226,0.622408,49.040000,0.641355,97.084692,49.236000
full_proposed,extreme,11,1011,10.510000,6.450000,9.806000,6.450000,3.356000,0.588000,0.657435,0.613251,0.619567,0.591328,0.931636,0.692428,0.528846,0.580303,0.528846,0.443605,0.076893,0.562406,0.550694,0.489656,0.715623,0.697194,0.696081,0.977893,0.471154,0.754596,0.098221,0.473286,0.638512,51.600000,0.657435,96.573932,48.944000
full_proposed,extreme,12,1012,10.474000,5.930000,9.240000,5.930000,3.310000,1.130000,0.642789,0.568208,0.573291,0.548546,0.922519,0.697108,0.529122,0.584607,0.529122,0.435507,0.075723,0.554910,0.533322,0.460488,0.711023,0.695299,0.684895,0.977752,0.470878,0.745486,0.093238,0.451688,0.603440,47.440000,0.642789,96.655267,49.216000
full_proposed,extreme,13,1013,10.454000,5.992000,9.168000,5.992000,3.176000,1.218000,0.654333,0.573106,0.576584,0.553503,0.932213,0.688964,0.519905,0.584516,0.519905,0.447843,0.077759,0.568418,0.571337,0.448671,0.717116,0.700466,0.693133,0.977825,0.480095,0.753156,0.092068,0.443733,0.599203,47.936000,0.654333,96.227406,49.402000
full_proposed,extreme,14,1014,10.650000,6.162000,9.430000,6.162000,3.268000,1.128000,0.653733,0.579269,0.584463,0.559390,0.916416,0.695618,0.527628,0.586763,0.527628,0.445570,0.076096,0.562874,0.558429,0.461712,0.713624,0.696989,0.689822,0.977815,0.472372,0.750144,0.095379,0.462697,0.608993,49.296000,0.653733,96.570927,49.190000
full_proposed,extreme,15,1015,10.448000,6.182000,9.350000,6.182000,3.168000,1.058000,0.663009,0.592646,0.595023,0.572178,0.915667,0.699539,0.523125,0.588098,0.523125,0.434967,0.075115,0.561329,0.567984,0.462961,0.716842,0.699285,0.694769,0.977852,0.476875,0.754493,0.093866,0.457544,0.602434,49.456000,0.663009,96.843849,49.590000
