model,attack,fraction,defense,load,adaptive_mu,metric,mean,std,count,ci95_low,ci95_high
greedy_utility,bad_mouthing,0.1,True,high,True,generated_tasks,7.004760,0.035361,50,6.994958,7.014562
greedy_utility,bad_mouthing,0.1,True,high,True,completed_tasks,5.082200,0.053812,50,5.067284,5.097116
greedy_utility,bad_mouthing,0.1,True,high,True,attempted_interactions,7.004760,0.035361,50,6.994958,7.014562
greedy_utility,bad_mouthing,0.1,True,high,True,successful_cooperations,5.082200,0.053812,50,5.067284,5.097116
greedy_utility,bad_mouthing,0.1,True,high,True,failed_interactions,1.922560,0.056170,50,1.906990,1.938130
greedy_utility,bad_mouthing,0.1,True,high,True,blocked_privacy_interactions,0.000000,0.000000,50,0.000000,0.000000
greedy_utility,bad_mouthing,0.1,True,high,True,cooperation_rate,0.725567,0.007683,50,0.723438,0.727697
greedy_utility,bad_mouthing,0.1,True,high,True,task_completion_ratio,0.725567,0.007683,50,0.723438,0.727697
greedy_utility,bad_mouthing,0.1,True,high,True,reliability_score,0.725567,0.007683,50,0.723438,0.727697
greedy_utility,bad_mouthing,0.1,True,high,True,resource_efficiency,0.702959,0.007458,50,0.700892,0.705027
greedy_utility,bad_mouthing,0.1,True,high,True,fairness_index,0.926928,0.007830,50,0.924757,0.929098
greedy_utility,bad_mouthing,0.1,True,high,True,trust_stability_index,0.747856,0.007865,50,0.745675,0.750036
greedy_utility,bad_mouthing,0.1,True,high,True,privacy_exposure_risk,0.500000,0.000000,50,0.500000,0.500000
greedy_utility,bad_mouthing,0.1,True,high,True,candidate_privacy_risk,0.500000,0.000000,50,0.500000,0.500000
greedy_utility,bad_mouthing,0.1,True,high,True,accepted_privacy_exposure,0.500000,0.000000,50,0.500000,0.500000
greedy_utility,bad_mouthing,0.1,True,high,True,avg_trust,0.625274,0.008704,50,0.622861,0.627687
greedy_utility,bad_mouthing,0.1,True,high,True,trust_variance,0.063036,0.001966,50,0.062491,0.063581
greedy_utility,bad_mouthing,0.1,True,high,True,avg_preference,0.665738,0.006639,50,0.663898,0.667578
greedy_utility,bad_mouthing,0.1,True,high,True,avg_reciprocity,0.707567,0.012931,50,0.703983,0.711151
greedy_utility,bad_mouthing,0.1,True,high,True,avg_privacy_risk,0.500000,0.000000,50,0.500000,0.500000
greedy_utility,bad_mouthing,0.1,True,high,True,avg_total_utility,0.805131,0.001611,50,0.804685,0.805577
greedy_utility,bad_mouthing,0.1,True,high,True,avg_system_utility,0.749748,0.001756,50,0.749261,0.750235
greedy_utility,bad_mouthing,0.1,True,high,True,avg_social_utility,0.623379,0.001705,50,0.622906,0.623852
greedy_utility,bad_mouthing,0.1,True,high,True,avg_resource_utility,0.981829,0.000095,50,0.981803,0.981855
greedy_utility,bad_mouthing,0.1,True,high,True,avg_privacy_utility,0.500000,0.000000,50,0.500000,0.500000
greedy_utility,bad_mouthing,0.1,True,high,True,avg_incentive_utility,0.601297,0.000286,50,0.601218,0.601376
greedy_utility,bad_mouthing,0.1,True,high,True,energy_consumed,0.064840,0.000514,50,0.064698,0.064983
greedy_utility,bad_mouthing,0.1,True,high,True,bandwidth_consumed,0.275117,0.002515,50,0.274420,0.275814
greedy_utility,bad_mouthing,0.1,True,high,True,compute_consumed,0.366565,0.003389,50,0.365625,0.367504
greedy_utility,bad_mouthing,0.1,True,high,True,throughput_mbps,40.657600,0.430495,50,40.538273,40.776927
greedy_utility,bad_mouthing,0.1,True,high,True,packet_delivery_ratio,0.725567,0.007683,50,0.723438,0.727697
greedy_utility,bad_mouthing,0.1,True,high,True,e2e_delay_ms,97.043031,0.693009,50,96.850939,97.235124
greedy_utility,bad_mouthing,0.1,True,high,True,active_nodes,50.000000,0.000000,50,50.000000,50.000000
greedy_utility,bad_mouthing,0.1,True,high,True,reputation_honest,0.720864,0.031145,50,0.712231,0.729497
greedy_utility,bad_mouthing,0.1,True,high,True,reputation_attacker,0.792911,0.074749,50,0.772192,0.813631
greedy_utility,bad_mouthing,0.1,True,high,True,reputation_separation,-0.072048,0.084632,50,-0.095506,-0.048589
greedy_utility,bad_mouthing,0.1,True,high,True,attacker_defection_rate,0.000000,0.000000,50,0.000000,0.000000
greedy_utility,bad_mouthing,0.1,True,high,True,decision_distortion,0.079511,0.003770,50,0.078466,0.080557
greedy_utility,bad_mouthing,0.1,True,high,True,decision_distortion_evidenced,0.062644,0.005840,50,0.061025,0.064262
greedy_utility,bad_mouthing,0.1,True,high,True,decision_distortion_counterfactual,0.089599,0.004361,50,0.088391,0.090808
greedy_utility,bad_mouthing,0.1,True,high,True,decision_distortion_counterfactual_evidenced,0.079897,0.007892,50,0.077709,0.082084
greedy_utility,bad_mouthing,0.2,True,high,True,generated_tasks,7.004760,0.035361,50,6.994958,7.014562
greedy_utility,bad_mouthing,0.2,True,high,True,completed_tasks,5.082200,0.053812,50,5.067284,5.097116
greedy_utility,bad_mouthing,0.2,True,high,True,attempted_interactions,7.004760,0.035361,50,6.994958,7.014562
greedy_utility,bad_mouthing,0.2,True,high,True,successful_cooperations,5.082200,0.053812,50,5.067284,5.097116
greedy_utility,bad_mouthing,0.2,True,high,True,failed_interactions,1.922560,0.056170,50,1.906990,1.938130
greedy_utility,bad_mouthing,0.2,True,high,True,blocked_privacy_interactions,0.000000,0.000000,50,0.000000,0.000000
greedy_utility,bad_mouthing,0.2,True,high,True,cooperation_rate,0.725567,0.007683,50,0.723438,0.727697
greedy_utility,bad_mouthing,0.2,True,high,True,task_completion_ratio,0.725567,0.007683,50,0.723438,0.727697
greedy_utility,bad_mouthing,0.2,True,high,True,reliability_score,0.725567,0.007683,50,0.723438,0.727697
greedy_utility,bad_mouthing,0.2,True,high,True,resource_efficiency,0.702959,0.007458,50,0.700892,0.705027
greedy_utility,bad_mouthing,0.2,True,high,True,fairness_index,0.926928,0.007830,50,0.924757,0.929098
greedy_utility,bad_mouthing,0.2,True,high,True,trust_stability_index,0.747856,0.007865,50,0.745675,0.750036
greedy_utility,bad_mouthing,0.2,True,high,True,privacy_exposure_risk,0.500000,0.000000,50,0.500000,0.500000
greedy_utility,bad_mouthing,0.2,True,high,True,candidate_privacy_risk,0.500000,0.000000,50,0.500000,0.500000
greedy_utility,bad_mouthing,0.2,True,high,True,accepted_privacy_exposure,0.500000,0.000000,50,0.500000,0.500000
greedy_utility,bad_mouthing,0.2,True,high,True,avg_trust,0.625274,0.008704,50,0.622861,0.627687
greedy_utility,bad_mouthing,0.2,True,high,True,trust_variance,0.063036,0.001966,50,0.062491,0.063581
