model,attack,fraction,defense,load,run_id,adaptive_mu,generated_tasks,completed_tasks,attempted_interactions,successful_cooperations,failed_interactions,blocked_privacy_interactions,cooperation_rate,task_completion_ratio,reliability_score,resource_efficiency,fairness_index,trust_stability_index,privacy_exposure_risk,candidate_privacy_risk,accepted_privacy_exposure,avg_trust,trust_variance,avg_preference,avg_reciprocity,avg_privacy_risk,avg_total_utility,avg_system_utility,avg_social_utility,avg_resource_utility,avg_privacy_utility,avg_incentive_utility,energy_consumed,bandwidth_consumed,compute_consumed,throughput_mbps,packet_delivery_ratio,e2e_delay_ms,active_nodes,reputation_honest,reputation_attacker,reputation_separation,attacker_defection_rate,whitewash_events,decision_distortion,decision_distortion_evidenced,decision_distortion_counterfactual,decision_distortion_counterfactual_evidenced
greedy_utility,bad_mouthing,0.1,True,high,0,True,7.002000,5.084000,7.002000,5.084000,1.918000,0.000000,0.726167,0.726167,0.726167,0.703563,0.931657,0.743119,0.500000,0.500000,0.500000,0.617493,0.064220,0.661218,0.710125,0.500000,0.804843,0.749668,0.623645,0.981830,0.500000,0.601333,0.065277,0.275834,0.365012,40.672000,0.726167,96.401045,50.000000,0.683081,0.784650,-0.101569,0.000000,0.000000,0.077612,0.068328,0.089175,0.086245
greedy_utility,bad_mouthing,0.1,True,high,1,True,6.940000,5.006000,6.940000,5.006000,1.934000,0.000000,0.719107,0.719107,0.719107,0.696850,0.931312,0.744695,0.500000,0.500000,0.500000,0.624946,0.063826,0.664775,0.712385,0.500000,0.803068,0.747507,0.620766,0.981917,0.500000,0.600974,0.063538,0.272664,0.360235,40.048000,0.719107,96.894999,50.000000,0.777212,0.673189,0.104023,0.000000,0.000000,0.081380,0.057271,0.088772,0.070531
greedy_utility,bad_mouthing,0.1,True,high,10,True,7.028000,5.164000,7.028000,5.164000,1.864000,0.000000,0.733607,0.733607,0.733607,0.710624,0.931459,0.748027,0.500000,0.500000,0.500000,0.627854,0.062993,0.671046,0.718581,0.500000,0.806053,0.751039,0.625409,0.981736,0.500000,0.601536,0.065520,0.277561,0.369785,41.312000,0.733607,96.432343,50.000000,0.697343,0.784003,-0.086660,0.000000,0.000000,0.072882,0.057946,0.082736,0.074086
greedy_utility,bad_mouthing,0.1,True,high,11,True,6.996000,5.114000,6.996000,5.114000,1.882000,0.000000,0.730024,0.730024,0.730024,0.707316,0.935249,0.758975,0.500000,0.500000,0.500000,0.631349,0.060256,0.666905,0.705337,0.500000,0.804508,0.749636,0.621968,0.981847,0.500000,0.601399,0.064362,0.274145,0.366665,40.912000,0.730024,96.027655,50.000000,0.713503,0.852873,-0.139370,0.000000,0.000000,0.081180,0.070278,0.090861,0.085477
greedy_utility,bad_mouthing,0.1,True,high,12,True,6.966000,5.122000,6.966000,5.122000,1.844000,0.000000,0.735452,0.735452,0.735452,0.712594,0.937847,0.756634,0.500000,0.500000,0.500000,0.642465,0.060842,0.681259,0.742810,0.500000,0.806754,0.750975,0.624247,0.981838,0.500000,0.601374,0.064014,0.274756,0.362982,40.976000,0.735452,97.958042,50.000000,0.752073,0.858124,-0.106051,0.000000,0.000000,0.083510,0.064170,0.091790,0.078906
greedy_utility,bad_mouthing,0.1,True,high,13,True,7.016000,5.152000,7.016000,5.152000,1.864000,0.000000,0.733012,0.733012,0.733012,0.710229,0.920900,0.748769,0.500000,0.500000,0.500000,0.628046,0.062808,0.665876,0.690841,0.500000,0.804522,0.748930,0.622997,0.981856,0.500000,0.601146,0.065021,0.274323,0.366640,41.216000,0.733012,97.594750,50.000000,0.735563,0.854855,-0.119291,0.000000,0.000000,0.073625,0.058619,0.082867,0.073542
greedy_utility,bad_mouthing,0.1,True,high,14,True,6.946000,5.116000,6.946000,5.116000,1.830000,0.000000,0.736143,0.736143,0.736143,0.713353,0.926830,0.747463,0.500000,0.500000,0.500000,0.628767,0.063134,0.671629,0.727591,0.500000,0.807422,0.752410,0.624984,0.981954,0.500000,0.601756,0.063953,0.269247,0.363059,40.928000,0.736143,96.316475,50.000000,0.723565,0.793575,-0.070011,0.000000,0.000000,0.082639,0.056631,0.090437,0.070634
greedy_utility,bad_mouthing,0.1,True,high,15,True,7.034000,5.142000,7.034000,5.142000,1.892000,0.000000,0.731024,0.731024,0.731024,0.708283,0.920892,0.743750,0.500000,0.500000,0.500000,0.617000,0.064062,0.657740,0.687884,0.500000,0.803242,0.747823,0.621912,0.981834,0.500000,0.601034,0.065335,0.276456,0.366576,41.136000,0.731024,97.073496,50.000000,0.711812,0.783051,-0.071240,0.000000,0.000000,0.076598,0.055722,0.086380,0.072440
greedy_utility,bad_mouthing,0.1,True,high,16,True,6.970000,5.048000,6.970000,5.048000,1.922000,0.000000,0.725536,0.725536,0.725536,0.702880,0.910592,0.754212,0.500000,0.500000,0.500000,0.632086,0.061447,0.668881,0.701925,0.500000,0.804334,0.748099,0.622725,0.981781,0.500000,0.600880,0.065144,0.276919,0.361596,40.384000,0.725536,98.583384,50.000000,0.726441,0.841870,-0.115428,0.000000,0.000000,0.082742,0.067164,0.092968,0.085592
greedy_utility,bad_mouthing,0.1,True,high,17,True,7.000000,5.120000,7.000000,5.120000,1.880000,0.000000,0.730679,0.730679,0.730679,0.707884,0.936238,0.745232,0.500000,0.500000,0.500000,0.628966,0.063692,0.671092,0.730950,0.500000,0.807202,0.751815,0.625430,0.981812,0.500000,0.601569,0.064910,0.274287,0.368088,40.960000,0.730679,97.044314,50.000000,0.702999,0.730389,-0.027390,0.000000,0.000000,0.081396,0.065594,0.092123,0.083779
