baseline_name,load_level,run_id,seed,generated_tasks,completed_tasks,attempted_interactions,successful_cooperations,failed_interactions,blocked_privacy_interactions,cooperation_rate,task_completion_ratio,reliability_score,resource_efficiency,fairness_index,trust_stability_index,privacy_exposure_risk,candidate_privacy_risk,accepted_privacy_exposure,avg_trust,trust_variance,avg_preference,avg_reciprocity,avg_privacy_risk,avg_total_utility,avg_system_utility,avg_social_utility,avg_resource_utility,avg_privacy_utility,avg_incentive_utility,energy_consumed,bandwidth_consumed,compute_consumed,throughput_mbps,packet_delivery_ratio,e2e_delay_ms,active_nodes
game_theoretic_social,extreme,0,1000,10.520000,6.476000,10.418000,6.476000,3.942000,0.000000,0.622104,0.615994,0.622104,0.592689,0.930233,0.691736,0.555092,0.578040,0.555092,0.442687,0.077066,0.562761,0.535509,0.549424,0.575353,0.683657,0.689890,0.977777,0.444908,0.747104,0.104875,0.505126,0.681448,51.808000,0.622104,95.460674,49.116000
game_theoretic_social,extreme,1,1001,10.488000,6.534000,10.396000,6.534000,3.862000,0.000000,0.628324,0.623361,0.628324,0.599810,0.925027,0.694638,0.550563,0.575128,0.550563,0.442576,0.076340,0.558480,0.521093,0.545562,0.576000,0.685456,0.690501,0.977836,0.449437,0.745791,0.105094,0.503500,0.677834,52.272000,0.628324,95.459819,49.194000
game_theoretic_social,extreme,2,1002,10.568000,6.734000,10.452000,6.734000,3.718000,0.000000,0.644606,0.637802,0.644606,0.613586,0.936805,0.685241,0.533352,0.562155,0.533352,0.455458,0.078690,0.569812,0.546736,0.527013,0.588481,0.686300,0.706732,0.977696,0.466648,0.757223,0.105930,0.511138,0.684346,53.872000,0.644606,95.530610,48.954000
game_theoretic_social,extreme,3,1003,10.448000,6.742000,10.394000,6.742000,3.652000,0.000000,0.647287,0.644133,0.647287,0.619794,0.929425,0.697135,0.542644,0.573781,0.542644,0.449111,0.075716,0.565383,0.549728,0.539538,0.590652,0.689994,0.707170,0.977908,0.457356,0.758969,0.104711,0.503256,0.674554,53.936000,0.647287,94.652350,49.312000
game_theoretic_social,extreme,4,1004,10.520000,6.666000,10.462000,6.666000,3.796000,0.000000,0.637936,0.634697,0.637936,0.610442,0.925647,0.701828,0.554739,0.580770,0.554739,0.434402,0.074543,0.554485,0.526367,0.551495,0.579132,0.683459,0.693283,0.977685,0.445261,0.749364,0.106743,0.511157,0.684601,53.328000,0.637936,95.628582,49.226000
game_theoretic_social,extreme,5,1005,10.462000,6.642000,10.364000,6.642000,3.722000,0.000000,0.639916,0.634027,0.639916,0.610257,0.926598,0.702573,0.550421,0.574106,0.550421,0.440670,0.074357,0.555318,0.513627,0.544994,0.581374,0.687418,0.696626,0.977990,0.449579,0.750604,0.104051,0.503769,0.664994,53.136000,0.639916,95.528775,49.270000
game_theoretic_social,extreme,6,1006,10.424000,6.534000,10.376000,6.534000,3.842000,0.000000,0.629683,0.626847,0.629683,0.603106,0.925137,0.702497,0.544617,0.576248,0.544617,0.437589,0.074376,0.554306,0.520144,0.542004,0.580925,0.686585,0.696298,0.977863,0.455383,0.750803,0.105169,0.504973,0.670915,52.272000,0.629683,95.508983,49.426000
game_theoretic_social,extreme,7,1007,10.500000,6.548000,10.430000,6.548000,3.882000,0.000000,0.628506,0.624330,0.628506,0.600610,0.938407,0.713369,0.557954,0.581736,0.557954,0.431219,0.071658,0.552731,0.526426,0.553971,0.578451,0.687192,0.694177,0.977796,0.442046,0.750009,0.105724,0.509711,0.675667,52.384000,0.628506,95.713599,49.342000
game_theoretic_social,extreme,8,1008,10.576000,6.506000,10.522000,6.506000,4.016000,0.000000,0.617775,0.614680,0.617775,0.591230,0.930672,0.704408,0.551635,0.576432,0.551635,0.426850,0.073898,0.544274,0.490248,0.548561,0.576147,0.686982,0.689255,0.977723,0.448365,0.746228,0.107027,0.516782,0.684434,52.048000,0.617775,95.256093,49.456000
game_theoretic_social,extreme,9,1009,10.350000,6.574000,10.288000,6.574000,3.714000,0.000000,0.638479,0.634825,0.638479,0.610813,0.930258,0.697080,0.544040,0.573140,0.544040,0.442948,0.075730,0.559012,0.529647,0.540593,0.583688,0.689838,0.700022,0.977901,0.455960,0.752805,0.103369,0.498031,0.667063,52.592000,0.638479,95.874385,49.400000
