load_level,baseline_name,metric,mean,std,count,ci95_low,ci95_high
extreme,game_theoretic_social,generated_tasks,10.509480,0.051100,100,10.499464,10.519496
extreme,game_theoretic_social,completed_tasks,6.611540,0.091061,100,6.593692,6.629388
extreme,game_theoretic_social,attempted_interactions,10.424940,0.050926,100,10.414958,10.434922
extreme,game_theoretic_social,successful_cooperations,6.611540,0.091061,100,6.593692,6.629388
extreme,game_theoretic_social,failed_interactions,3.813400,0.089376,100,3.795882,3.830918
extreme,game_theoretic_social,blocked_privacy_interactions,0.000000,0.000000,100,0.000000,0.000000
extreme,game_theoretic_social,cooperation_rate,0.634211,0.008359,100,0.632573,0.635850
extreme,game_theoretic_social,task_completion_ratio,0.629192,0.008292,100,0.627567,0.630818
extreme,game_theoretic_social,reliability_score,0.634211,0.008359,100,0.632573,0.635850
extreme,game_theoretic_social,resource_efficiency,0.605340,0.007981,100,0.603776,0.606905
extreme,game_theoretic_social,fairness_index,0.929049,0.005728,100,0.927926,0.930172
extreme,game_theoretic_social,trust_stability_index,0.700370,0.007823,100,0.698836,0.701903
extreme,game_theoretic_social,privacy_exposure_risk,0.549592,0.006169,100,0.548383,0.550802
extreme,game_theoretic_social,candidate_privacy_risk,0.575102,0.004903,100,0.574141,0.576063
extreme,game_theoretic_social,accepted_privacy_exposure,0.549592,0.006169,100,0.548383,0.550802
extreme,game_theoretic_social,avg_trust,0.437923,0.007934,100,0.436368,0.439478
extreme,game_theoretic_social,trust_variance,0.074908,0.001956,100,0.074524,0.075291
extreme,game_theoretic_social,avg_preference,0.556135,0.006677,100,0.554827,0.557444
extreme,game_theoretic_social,avg_reciprocity,0.522900,0.015676,100,0.519827,0.525972
extreme,game_theoretic_social,avg_privacy_risk,0.544847,0.006353,100,0.543601,0.546092
extreme,game_theoretic_social,avg_total_utility,0.580968,0.004662,100,0.580055,0.581882
extreme,game_theoretic_social,avg_system_utility,0.686230,0.001833,100,0.685870,0.686589
extreme,game_theoretic_social,avg_social_utility,0.696407,0.005683,100,0.695293,0.697520
extreme,game_theoretic_social,avg_resource_utility,0.977781,0.000091,100,0.977763,0.977799
extreme,game_theoretic_social,avg_privacy_utility,0.450408,0.006169,100,0.449198,0.451617
extreme,game_theoretic_social,avg_incentive_utility,0.751041,0.003914,100,0.750274,0.751808
extreme,game_theoretic_social,energy_consumed,0.105182,0.000669,100,0.105051,0.105314
extreme,game_theoretic_social,bandwidth_consumed,0.508863,0.003948,100,0.508090,0.509637
extreme,game_theoretic_social,compute_consumed,0.678632,0.004813,100,0.677688,0.679575
extreme,game_theoretic_social,throughput_mbps,52.892320,0.728492,100,52.749536,53.035104
extreme,game_theoretic_social,packet_delivery_ratio,0.634211,0.008359,100,0.632573,0.635850
extreme,game_theoretic_social,e2e_delay_ms,95.396845,0.474606,100,95.303823,95.489868
extreme,game_theoretic_social,active_nodes,49.257160,0.140172,100,49.229686,49.284634
high,game_theoretic_social,generated_tasks,7.000700,0.035348,100,6.993772,7.007628
high,game_theoretic_social,completed_tasks,4.980320,0.063906,100,4.967794,4.992846
high,game_theoretic_social,attempted_interactions,7.000540,0.035424,100,6.993597,7.007483
high,game_theoretic_social,successful_cooperations,4.980320,0.063906,100,4.967794,4.992846
high,game_theoretic_social,failed_interactions,2.020220,0.066097,100,2.007265,2.033175
high,game_theoretic_social,blocked_privacy_interactions,0.000000,0.000000,100,0.000000,0.000000
high,game_theoretic_social,cooperation_rate,0.711402,0.008997,100,0.709639,0.713166
high,game_theoretic_social,task_completion_ratio,0.711384,0.009000,100,0.709620,0.713148
high,game_theoretic_social,reliability_score,0.711402,0.008997,100,0.709639,0.713166
high,game_theoretic_social,resource_efficiency,0.689225,0.008720,100,0.687516,0.690934
high,game_theoretic_social,fairness_index,0.880346,0.013470,100,0.877706,0.882986
