min_neighbors,max_neighbors,candidate_set,decision_points,mean_valid_actions,max_valid_actions,spread_mean,spread_median,spread_max,spread_pct_of_mean_utility,mean_best_utility,mean_worst_utility,oracle_vs_worst_gap_pct
3,6,feasible,843,4.344009489916963,6,0.0366200110982071,0.0381763948637643,0.0716521322827047,5.3317518807321855,0.706133901300323,0.6695138902021159,5.469641725753009
3,6,top32,843,4.34638196915777,6,0.0367527949755477,0.0381831529660516,0.0797073645455586,5.353074553241047,0.706133901300323,0.6693811063247753,5.490563541199762
3,6,top8,843,4.34638196915777,6,0.0367527949755477,0.0381831529660516,0.0797073645455586,5.353074553241047,0.706133901300323,0.6693811063247753,5.490563541199762
6,12,feasible,842,8.008313539192399,12,0.0482762178379385,0.0478791510436928,0.0789684385948016,7.017803582614304,0.7126741091355583,0.6643978912976197,7.26616060500304
6,12,top32,842,8.008313539192399,12,0.0482762178379385,0.0478791510436928,0.0789684385948016,7.017803582614304,0.7126741091355583,0.6643978912976197,7.26616060500304
6,12,top8,842,7.333729216152019,8,0.0441447815681253,0.0440125435838221,0.0778262031029022,6.401217396620789,0.7126741091355583,0.668529327567433,6.603267762201877
10,15,feasible,840,11.334523809523809,15,0.0543525194222106,0.0546981928873531,0.0791971572167409,7.910350135235084,0.7156580410737695,0.6613055216515589,8.21897256905847
10,15,top32,840,11.34047619047619,15,0.0545057536259287,0.0548195082822328,0.101019290243648,7.934650041609462,0.7156580410737695,0.6611522874478407,8.244054306509351
10,15,top8,840,8.0,8,0.0369701309152987,0.0367981875391435,0.0638863505038316,5.323379134331122,0.7156580410737695,0.6786879101584707,5.447294752409308
15,25,feasible,845,16.423668639053254,22,0.0583829093681092,0.0587418774161614,0.077082288225652,8.486276305634544,0.7187557376404371,0.6603728282723279,8.840901210434563
15,25,top32,845,16.423668639053254,22,0.0583829093681092,0.0587418774161614,0.077082288225652,8.486276305634544,0.7187557376404371,0.6603728282723279,8.840901210434563
15,25,top8,845,8.0,8,0.0281865539717356,0.0283471405151588,0.0506352888661724,4.013540092293631,0.7187557376404371,0.6905691836687015,4.081640860658221
