variant,condition,policy,n_seeds,accept_rate,coop_mean,coop_ci95
social,none,untrained_random_init,90,0.9479,0.7277,0.0016
social,none,marl_trained,90,0.9631,0.7294,0.0019
social,none,heuristic_proposed,90,0.9480,0.7293,0.0019
social,selective,untrained_random_init,90,0.9460,0.6682,0.0023
social,selective,marl_trained,90,0.9563,0.6736,0.0022
social,selective,heuristic_proposed,90,0.9469,0.6693,0.0025
social,collusion,untrained_random_init,90,0.9453,0.6732,0.0020
social,collusion,marl_trained,90,0.9574,0.6802,0.0027
social,collusion,heuristic_proposed,90,0.9460,0.6757,0.0030
no_social,none,untrained_random_init,90,1.0000,0.7037,0.0017
no_social,none,marl_trained,90,1.0000,0.7004,0.0018
no_social,none,heuristic_proposed,90,0.9480,0.7293,0.0019
no_social,selective,untrained_random_init,90,1.0000,0.5080,0.0032
no_social,selective,marl_trained,90,1.0000,0.5060,0.0023
no_social,selective,heuristic_proposed,90,0.9469,0.6693,0.0025
no_social,collusion,untrained_random_init,90,1.0000,0.5199,0.0031
no_social,collusion,marl_trained,90,1.0000,0.5174,0.0025
no_social,collusion,heuristic_proposed,90,0.9460,0.6757,0.0030
