variant,seed_start,run_id,n_interactions,n_accept,n_reject,accept_ratio,n_success,success_ratio,mean_total_utility,sum_reward,cooperation_rate,seed
neural_marl_social,3000,0,3550,3374,176,0.9504225352112676,2442,0.7237700059276823,0.7574643244164198,2546.8846305810002,0.7246071428571429,1400000
neural_marl_social,3000,1,3485,3406,79,0.9773314203730272,2489,0.7307692307692307,0.7574063690017714,2575.776092820033,0.7284428571428572,1400001
neural_marl_social,3000,2,3518,3350,168,0.9522455940875497,2434,0.7265671641791045,0.7564397909672799,2525.6732997403874,0.7240690476190477,1400002
neural_marl_social,3000,3,3501,3338,163,0.953441873750357,2407,0.7210904733373278,0.7550672990590179,2512.2646442590017,0.7219071428571429,1400003
neural_marl_social,3000,4,3473,3315,158,0.9545061906133027,2395,0.722473604826546,0.7569781586948444,2501.482596073409,0.7231928571428572,1400004
neural_marl_social,3000,5,3503,3376,127,0.9637453611190409,2456,0.7274881516587678,0.7551914724612377,2543.1764110291388,0.7281238095238095,1400005
neural_marl_social,3000,6,3485,3391,94,0.9730272596843615,2432,0.7171925685638455,0.7546711807802208,2554.389974025729,0.7172238095238095,1400006
neural_marl_social,3000,7,3481,3317,164,0.9528871014076414,2378,0.7169128730780826,0.7530725998958719,2489.7418138546072,0.7165452380952381,1400007
neural_marl_social,3000,8,3495,3385,110,0.9685264663805436,2523,0.7453471196454948,0.7608555121340581,2569.9959085737864,0.7451333333333333,1400008
neural_marl_social,3000,9,3476,3332,144,0.9585730724971231,2406,0.7220888355342137,0.7561188436818196,2512.1879871478227,0.7238404761904762,1400009
neural_marl_social,6000,0,3513,3401,112,0.9681184173071449,2470,0.7262569832402235,0.755333958467166,2563.290792746832,0.7252452380952381,1400000
neural_marl_social,6000,1,3509,3425,84,0.97606155599886,2498,0.7293430656934307,0.7557172434248046,2584.131558729956,0.7300238095238095,1400001
neural_marl_social,6000,2,3500,3421,79,0.9774285714285714,2539,0.7421806489330605,0.7601833883007109,2596.637371376732,0.7411357142857142,1400002
neural_marl_social,6000,3,3506,3403,103,0.9706217912150599,2487,0.7308257419923597,0.754425847980167,2562.161160676508,0.7324619047619048,1400003
neural_marl_social,6000,4,3537,3435,102,0.9711620016963528,2475,0.7205240174672489,0.7558762487290788,2591.3349143843857,0.7194333333333334,1400004
neural_marl_social,6000,5,3481,3382,99,0.9715598965814422,2502,0.7397989355411,0.7569291780188432,2554.9844800597275,0.7386142857142857,1400005
