variant,condition,fraction,policy,reward_mean,coop_mean,coop_ci95,p_vs_untrained,p_vs_heuristic,p_vs_untrained_ttest,p_vs_heuristic_ttest,dz_vs_untrained,dz_vs_heuristic
social,none,0.0,untrained_random_init,2496.635997,0.727674,0.002781,nan,0.3284698575735092,nan,0.3443371080138984,nan,-0.1755128344035855
social,none,0.0,marl_trained,2544.189631,0.729393,0.002005,0.5291051845997572,0.9515264742076397,0.2987188113427383,0.9548630759272596,0.19319213328321963,0.010423617233291146
social,none,0.0,heuristic_proposed,2506.947843,0.729291,0.003259,0.3284698575735092,nan,0.3443371080138984,nan,0.1755128344035855,nan
social,selective,0.3,untrained_random_init,2453.192049,0.668222,0.004001,nan,0.6120056137442589,nan,0.6418868414392139,nan,-0.0858055967839066
social,selective,0.3,marl_trained,2482.658096,0.673577,0.001946,0.023410143330693245,0.15188691951334476,0.010990443123194527,0.07087564452998184,0.49607447682021916,0.3423525248784339
social,selective,0.3,heuristic_proposed,2464.223354,0.669321,0.004299,0.6120056137442589,nan,0.6418868414392139,nan,0.0858055967839066,nan
social,collusion,0.3,untrained_random_init,2448.404782,0.673225,0.003552,nan,0.3492113798856735,nan,0.29094706316635294,nan,-0.1963878636630122
social,collusion,0.3,marl_trained,2490.942041,0.680231,0.002632,0.010598260909318924,0.1641840822994709,0.007411781762190904,0.12187205707385614,0.5257111912093514,0.29094704880867744
social,collusion,0.3,heuristic_proposed,2465.800023,0.675735,0.005209,0.3492113798856735,nan,0.29094706316635294,nan,0.1963878636630122,nan
no_social,none,0.0,untrained_random_init,3015.018013,0.703656,0.002965,nan,3.725290298461914e-09,nan,1.7617908918008784e-12,nan,-2.1314712998970284
no_social,none,0.0,marl_trained,3003.055303,0.700378,0.002955,1.862645149230957e-09,1.862645149230957e-09,2.273350876739335e-21,8.763620661991471e-14,-4.640058802075051,-2.4086650340272366
no_social,none,0.0,heuristic_proposed,2506.947843,0.729291,0.003259,3.725290298461914e-09,nan,1.7617908918008784e-12,nan,2.1314712998970284,nan
no_social,selective,0.3,untrained_random_init,3014.519434,0.508047,0.005556,nan,1.862645149230957e-09,nan,1.4794398001682314e-28,nan,-8.33026469777705
no_social,selective,0.3,marl_trained,3005.963805,0.506007,0.002357,0.5978077705949545,1.862645149230957e-09,0.41209974852935116,1.4696050481622527e-34,-0.1519373062243182,-13.472438291862414
no_social,selective,0.3,heuristic_proposed,2464.223354,0.669321,0.004299,1.862645149230957e-09,nan,1.4794398001682314e-28,nan,8.33026469777705,nan
no_social,collusion,0.3,untrained_random_init,3014.519434,0.519944,0.005367,nan,1.862645149230957e-09,nan,5.669642243857828e-26,nan,-6.762152979296318
no_social,collusion,0.3,marl_trained,3005.963805,0.517374,0.002105,0.5978077705949545,1.862645149230957e-09,0.2849639612978031,2.5119514676415767e-30,-0.19888949428757152,-9.603114666690407
no_social,collusion,0.3,heuristic_proposed,2465.800023,0.675735,0.005209,1.862645149230957e-09,nan,5.669642243857828e-26,nan,6.762152979296318,nan
