variant,episode,metric,mean,ci95
neural_marl_social,249,eval_reward,2538.239915,52.910074
neural_marl_social,499,eval_reward,2528.660448,46.180539
neural_marl_social,749,eval_reward,2508.583080,9.905993
neural_marl_social,999,eval_reward,2527.826846,44.381943
neural_marl_social,1249,eval_reward,2501.949134,7.519865
neural_marl_social,1499,eval_reward,2512.717401,19.758403
neural_marl_social,1749,eval_reward,2520.438868,21.853291
neural_marl_social,1999,eval_reward,2536.424472,55.801557
neural_marl_social,2249,eval_reward,2529.522608,12.031870
neural_marl_social,2499,eval_reward,2526.976402,13.013548
neural_marl_social,2749,eval_reward,2527.946782,29.378788
neural_marl_social,2999,eval_reward,2534.889349,43.179343
neural_marl_social,249,eval_cooperation_rate,0.726599,0.001789
neural_marl_social,499,eval_cooperation_rate,0.727812,0.005831
neural_marl_social,749,eval_cooperation_rate,0.727163,0.005807
neural_marl_social,999,eval_cooperation_rate,0.731807,0.007845
neural_marl_social,1249,eval_cooperation_rate,0.721776,0.001901
neural_marl_social,1499,eval_cooperation_rate,0.723908,0.003779
neural_marl_social,1749,eval_cooperation_rate,0.727600,0.009547
neural_marl_social,1999,eval_cooperation_rate,0.725153,0.010973
neural_marl_social,2249,eval_cooperation_rate,0.725595,0.003124
neural_marl_social,2499,eval_cooperation_rate,0.727583,0.000631
neural_marl_social,2749,eval_cooperation_rate,0.731892,0.003163
neural_marl_social,2999,eval_cooperation_rate,0.724496,0.002161
neural_marl_no_social,249,eval_reward,3014.934428,1.096371
neural_marl_no_social,499,eval_reward,3011.120943,6.402169
neural_marl_no_social,749,eval_reward,3008.826855,12.549852
neural_marl_no_social,999,eval_reward,2996.442327,9.223049
neural_marl_no_social,1249,eval_reward,3006.082829,8.433093
neural_marl_no_social,1499,eval_reward,3012.723186,7.772680
neural_marl_no_social,1749,eval_reward,3001.407792,8.960627
neural_marl_no_social,1999,eval_reward,2996.026633,11.433424
neural_marl_no_social,2249,eval_reward,3000.951795,10.514612
neural_marl_no_social,2499,eval_reward,3012.973573,7.929763
neural_marl_no_social,2749,eval_reward,3005.967454,10.389170
neural_marl_no_social,2999,eval_reward,3004.894701,12.056368
neural_marl_no_social,249,eval_cooperation_rate,0.704226,0.000610
neural_marl_no_social,499,eval_cooperation_rate,0.703198,0.002008
neural_marl_no_social,749,eval_cooperation_rate,0.702423,0.003850
neural_marl_no_social,999,eval_cooperation_rate,0.698731,0.003023
neural_marl_no_social,1249,eval_cooperation_rate,0.701562,0.002365
neural_marl_no_social,1499,eval_cooperation_rate,0.703796,0.002367
neural_marl_no_social,1749,eval_cooperation_rate,0.700642,0.002222
neural_marl_no_social,1999,eval_cooperation_rate,0.699254,0.003132
neural_marl_no_social,2249,eval_cooperation_rate,0.700020,0.002811
neural_marl_no_social,2499,eval_cooperation_rate,0.703862,0.002473
neural_marl_no_social,2749,eval_cooperation_rate,0.701876,0.002789
neural_marl_no_social,2999,eval_cooperation_rate,0.701843,0.003379
