parameter,symbol,group,equation,default,perturbation,value_applied,clipped,simplex_renormalised,cooperation_rate_baseline,cooperation_rate_delta,cooperation_rate_ci_low,cooperation_rate_ci_high,cooperation_rate_n_pairs,cooperation_rate_cohens_dz,cooperation_rate_p_raw,cooperation_rate_significant,task_completion_ratio_baseline,task_completion_ratio_delta,task_completion_ratio_ci_low,task_completion_ratio_ci_high,task_completion_ratio_n_pairs,task_completion_ratio_cohens_dz,task_completion_ratio_p_raw,task_completion_ratio_significant,avg_total_utility_baseline,avg_total_utility_delta,avg_total_utility_ci_low,avg_total_utility_ci_high,avg_total_utility_n_pairs,avg_total_utility_cohens_dz,avg_total_utility_p_raw,avg_total_utility_significant,cooperation_rate_p_holm,cooperation_rate_q_bh,cooperation_rate_holm_significant,cooperation_rate_bh_significant,task_completion_ratio_p_holm,task_completion_ratio_q_bh,task_completion_ratio_holm_significant,task_completion_ratio_bh_significant,avg_total_utility_p_holm,avg_total_utility_q_bh,avg_total_utility_holm_significant,avg_total_utility_bh_significant
prob_alpha_trust,alpha_T,interaction_probability,Eq. 25,0.800000,-50%,0.400000,False,,0.726834,-0.011025,-0.016349,-0.005700,20,-0.9690909627080803,0.00035766255000323384,True,0.692032,-0.009214,-0.015788,-0.002640,20,-0.6559979661701905,0.008522484833106454,True,0.755170,-0.004524,-0.005782,-0.003265,20,-1.6823539530873792,4.119539855272137e-07,True,0.06580990920059503,0.002126642189208418,False,True,1.0,0.034089939332425816,False,True,6.0969189858027634e-05,1.241505161862836e-06,True,True
prob_alpha_trust,alpha_T,interaction_probability,Eq. 25,0.800000,-25%,0.600000,False,,0.726834,-0.006486,-0.011572,-0.001399,20,-0.5967073373450924,0.015183466508575074,True,0.692032,-0.006580,-0.011896,-0.001265,20,-0.5793814454258518,0.017923249344198866,True,0.755170,-0.003060,-0.004540,-0.001580,20,-0.9677227623433505,0.0003626807217833173,True,1.0,0.060733866034300296,False,False,1.0,0.06066330547267308,False,False,0.04533509022291466,0.0008311433207534354,True,True
prob_alpha_trust,alpha_T,interaction_probability,Eq. 25,0.800000,+25%,1.000000,False,,0.726834,0.005221,0.001164,0.009278,20,0.6023365482303719,0.01438241668025832,True,0.692032,0.005962,0.000725,0.011199,20,0.5327959297270359,0.027783832933696077,True,0.755170,0.001107,0.000108,0.002106,20,0.5185200497235716,0.03169940377787965,True,1.0,0.05859503091957094,False,False,1.0,0.08988887125607554,False,False,1.0,0.0520437972472651,False,False
prob_alpha_trust,alpha_T,interaction_probability,Eq. 25,0.800000,+50%,1.000000,True,,0.726834,0.005221,0.001164,0.009278,20,0.6023365482303719,0.01438241668025832,True,0.692032,0.005962,0.000725,0.011199,20,0.5327959297270359,0.027783832933696077,True,0.755170,0.001107,0.000108,0.002106,20,0.5185200497235716,0.03169940377787965,True,1.0,0.05859503091957094,False,False,1.0,0.08988887125607554,False,False,1.0,0.0520437972472651,False,False
prob_alpha_preference,alpha_P,interaction_probability,Eq. 25,0.700000,-50%,0.350000,False,,0.726834,-0.008699,-0.014461,-0.002937,20,-0.7065915274637391,0.005156245825727766,True,0.692032,-0.007120,-0.014206,-0.000034,20,-0.4702902649532483,0.0490025633767548,True,0.755170,-0.003993,-0.005555,-0.002430,20,-1.196183213379887,3.6640982146274e-05,True,0.9074992653280868,0.02520831292578019,False,True,1.0,0.1418495255642902,False,False,0.0050564555361858115,9.712067556843711e-05,True,True
prob_alpha_preference,alpha_P,interaction_probability,Eq. 25,0.700000,-25%,0.525000,False,,0.726834,-0.005341,-0.009393,-0.001289,20,-0.6169351669099414,0.012488286651245122,True,0.692032,-0.003908,-0.008677,0.000861,20,-0.3835619787315298,0.10254596349707455,False,0.755170,-0.002327,-0.003607,-0.001047,20,-0.8510873877646122,0.00119283149473089,True,1.0,0.05387104045635151,False,False,1.0,0.2575502914982149,False,False,0.14075411637824503,0.0025477954256387944,False,True
prob_alpha_preference,alpha_P,interaction_probability,Eq. 25,0.700000,+25%,0.875000,False,,0.726834,0.005874,0.001644,0.010104,20,0.6499127550911254,0.009048526948167629,True,0.692032,0.003993,-0.001444,0.009431,20,0.3437059778945663,0.14075563863076357,False,0.755170,0.001111,-0.000117,0.002339,20,0.423475041999068,0.07357490967419132,False,1.0,0.040626039359119966,False,True,1.0,0.31950284895775244,False,False,1.0,0.11116686717317356,False,False
prob_alpha_preference,alpha_P,interaction_probability,Eq. 25,0.700000,+50%,1.000000,True,,0.726834,0.006600,0.001986,0.011214,20,0.6695123270600469,0.007457675942462294,True,0.692032,0.008417,0.004114,0.012719,20,0.915579813948244,0.0006173149437188658,True,0.755170,0.002282,0.001314,0.003249,20,1.1032917979306032,9.21260955730684e-05,True,1.0,0.03490827036897244,False,True,0.10741280020708266,0.002889559311024478,False,True,0.011884266328925823,0.00022030153289212008,True,True
prob_alpha_reciprocity,alpha_R,interaction_probability,Eq. 25,0.600000,-50%,0.300000,False,,0.726834,-0.008112,-0.012153,-0.004072,20,-0.9396819358593337,0.0004826826967363775,True,0.692032,-0.008154,-0.013734,-0.002574,20,-0.6838628661813433,0.006468128975486923,True,0.755170,-0.004157,-0.005666,-0.002647,20,-1.2890377719797592,1.4845677107087995e-05,True,0.08833093350275707,0.0027944787705790276,False,True,1.0,0.02684883725673817,False,True,0.0020783947949923193,4.032159214270813e-05,True,True
prob_alpha_reciprocity,alpha_R,interaction_probability,Eq. 25,0.600000,-25%,0.450000,False,,0.726834,-0.004184,-0.008716,0.000348,20,-0.43203930357370274,0.06839262567902224,False,0.692032,-0.003677,-0.009273,0.001918,20,-0.307580462711591,0.18496507248546765,False,0.755170,-0.001785,-0.002825,-0.000745,20,-0.8031995345407423,0.0019434208244210132,True,1.0,0.23148273306745987,False,False,1.0,0.3880534647678995,False,False,0.2215499739839955,0.003995818517501149,False,True
